class,count,percentage
Cubism,365,25.668073136427566
Impressionism,240,16.877637130801688
Naturalism,218,15.330520393811533
Japonism,203,14.275668073136428
photo,139,9.774964838255977
Rococo,117,8.227848101265822
cartoon,75,5.274261603375527
ArtDeco,65,4.571026722925457
