label,test,train,val
ArtDeco,13.846153846153847,70.76923076923077,15.384615384615385
Cubism,15.068493150684931,69.86301369863014,15.068493150684931
Impressionism,15.0,70.0,15.0
Japonism,15.270935960591133,69.95073891625616,14.77832512315271
Naturalism,15.137614678899084,70.18348623853211,14.678899082568808
Rococo,15.384615384615385,70.08547008547008,14.529914529914532
cartoon,14.666666666666666,69.33333333333334,16.0
photo,15.107913669064748,69.7841726618705,15.107913669064748
