feature_index,importance_mean,importance_std
207,0.027278265197366824,0.005408978071110161
227,0.01949109565310352,0.004704265767730385
31,0.017977107603545865,0.007112704782897543
12,0.01694107776106916,0.004562748114671735
28,0.016839803476218124,0.00964451550355989
106,0.014911651822772409,0.010172864846263707
112,0.012242249324154835,0.007123434133692143
75,0.011613147245262107,0.003777565635556018
221,0.010429118659592378,0.006540583709677123
222,0.01032464676844288,0.006790722782799981
185,0.010177824426892019,0.006470635754642785
111,0.00917034314845735,0.0048696395876210805
13,0.009016328571767724,0.0037630351357641973
88,0.00829388762049133,0.009537192764816212
99,0.008139115977456108,0.008636404685240306
34,0.007761356004689695,0.004566287148417892
121,0.00771639459667593,0.005595398566404239
122,0.0076531860313444776,0.00609076690143237
107,0.007311905293417453,0.007245123820686042
104,0.006963180204837355,0.009065228738937123
40,0.006458093294624811,0.004900937012419616
213,0.006437693561502844,0.008024875145738769
50,0.006247852397888731,0.005314013868298055
182,0.0061696861632480945,0.008571889090800675
216,0.006155673477431655,0.006182210970714109
218,0.0059810255468756455,0.006490685294964919
8,0.005926049486816243,0.006249353226874029
136,0.005796221891747222,0.006320838523746783
175,0.005710158651275355,0.006279123123302438
178,0.0054454127899147995,0.006813765668233594
208,0.00539297802413416,0.00995117523663208
254,0.00519979040096602,0.004047871984981119
124,0.005099541803336749,0.005163846917645718
181,0.005015520887898061,0.006698307772864562
249,0.0049720269116622475,0.003760175342688597
126,0.004964329860469024,0.008163663040399984
80,0.004873454545976935,0.004282260699552893
140,0.004781791163919896,0.008170840428417602
255,0.004717569821010276,0.0002270389101892781
141,0.004656971064868387,0.005066455898517913
64,0.00434472709874742,0.003084229957079954
148,0.00431275615169025,0.004545951639008306
56,0.004281342867161963,0.008423556523270077
211,0.004260100884153834,0.004517743800590392
238,0.004248712684553635,0.003180113316515501
130,0.004188192775139721,0.00489675184003826
202,0.004028615669117996,0.00612968455216417
204,0.004021517945479297,0.008809218766308033
240,0.0036184803992601764,0.006064997738829153
198,0.0031492930181215573,0.003037079516700126
22,0.003143697262734635,0.0036240585485303564
180,0.003048180080315416,0.005640680041157165
82,0.0029896033456087655,0.006307857166983241
163,0.002909846389722298,0.0043385619625806475
197,0.002824708962216177,0.005518407843288296
220,0.002670616450273944,0.002919996878818576
233,0.002650013980407634,0.009077940903486353
236,0.0026494052239422914,0.004273513687483399
145,0.0025758005645457327,0.00861278267770424
166,0.002537806543363308,0.005324675722431419
30,0.002537171802586946,0.005797372173346838
71,0.002489705958844146,0.005653451583626413
209,0.002456128529092766,0.0036740786168108696
43,0.0023302080255604317,0.005712940898189438
170,0.0023053485667060168,0.0037504432808545827
36,0.002156361246033134,0.002388674952102978
251,0.0021305666900501953,0.006034279182715212
63,0.002100598130923492,0.0048585377303419185
96,0.0020831974003066634,0.00685485154899075
162,0.002080033439807105,0.009399554891586438
110,0.002065028385918072,0.008201012007175873
244,0.0020557754618948875,0.00960421824897143
23,0.0019086403595575119,0.006018181579598647
199,0.0018980417598789378,0.005089563730486375
229,0.0018719889887513774,0.005051252824201661
188,0.001806545481439875,0.004496513108609282
17,0.001797334970431902,0.004789183648571761
93,0.0017884788036179934,0.004381294193339519
108,0.0017852660084052008,0.011002398568169654
9,0.001767078755195578,0.006327255966520513
6,0.0017663991099239663,0.00861930956284522
230,0.0017299261074339434,0.010710097959261164
153,0.0015667342861860277,0.0014723058266701446
60,0.0015292930900594527,0.008404188549276402
67,0.0013902440310322671,0.002280300913220209
246,0.0013692526842944252,0.0052730401417445715
174,0.0013186624770485044,0.0034252969655555487
219,0.0011838361682166899,0.0059532039613802495
215,0.0011560137234330969,0.004348964427157662
150,0.00108551479891143,0.002337290721350826
81,0.0010045262544369105,0.004783594301289846
73,0.0009956733636589776,0.0031834585509928383
11,0.0009596250406157303,0.0027073811086557827
