main_cluster,ArtDeco,Cubism,Impressionism,Japonism,Naturalism,Rococo,cartoon,photo
0,5.434782608695652,39.130434782608695,6.521739130434782,30.434782608695656,2.1739130434782608,15.217391304347828,1.0869565217391304,0.0
1,15.172413793103448,22.06896551724138,8.96551724137931,31.03448275862069,6.206896551724138,0.0,13.10344827586207,3.4482758620689653
2,2.788844621513944,28.68525896414343,22.709163346613543,13.545816733067728,17.131474103585656,6.772908366533864,2.3904382470119523,5.9760956175298805
3,4.605263157894736,16.447368421052634,3.289473684210526,10.526315789473683,31.57894736842105,12.5,8.552631578947368,12.5
4,0.4830917874396135,22.705314009661837,23.18840579710145,5.797101449275362,15.458937198067632,8.212560386473431,3.864734299516908,20.28985507246377
5,3.7914691943127963,27.488151658767773,16.587677725118482,6.6350710900473935,14.691943127962084,18.009478672985782,2.843601895734597,9.95260663507109
6,6.493506493506493,28.57142857142857,15.584415584415584,27.27272727272727,3.896103896103896,5.194805194805195,7.792207792207792,5.194805194805195
7,3.484320557491289,25.435540069686414,22.299651567944252,11.498257839721255,17.421602787456447,2.7874564459930316,5.574912891986063,11.498257839721255
