model_name,feature_variant,n_features,val_accuracy,val_macro_f1,val_balanced_accuracy
HistGradientBoosting,raw,256,0.38497652582159625,0.3581989088000369,0.3606604384177914
RandomForest_reference,raw,256,0.431924882629108,0.4069883404521579,0.387417969081572
XGBoost,raw,256,0.41784037558685444,0.4212886898584491,0.4126930412316442
HistGradientBoosting,standardized,256,0.38497652582159625,0.3581989088000369,0.3606604384177914
RandomForest_reference,standardized,256,0.431924882629108,0.4069883404521579,0.387417969081572
XGBoost,standardized,256,0.41784037558685444,0.4212886898584491,0.4126930412316442
HistGradientBoosting,pca_16,16,0.352112676056338,0.32678711168809715,0.3335946784016637
RandomForest_reference,pca_16,16,0.41784037558685444,0.3636401996696114,0.35438397897037605
XGBoost,pca_16,16,0.3380281690140845,0.3064537113450157,0.3189459590654443
HistGradientBoosting,pca_32,32,0.323943661971831,0.30051550703724617,0.30552717299040827
RandomForest_reference,pca_32,32,0.4084507042253521,0.3663967611336032,0.33592788441134025
XGBoost,pca_32,32,0.37089201877934275,0.3743433300382299,0.3902776451489686
HistGradientBoosting,pca_64,64,0.352112676056338,0.3189631027904601,0.31786901313555727
RandomForest_reference,pca_64,64,0.39906103286384975,0.33964675302409386,0.31033523257787965
XGBoost,pca_64,64,0.40375586854460094,0.3715751411669448,0.38494271761735
HistGradientBoosting,pca_128,128,0.3427230046948357,0.3024807159128682,0.2980190561072914
RandomForest_reference,pca_128,128,0.38967136150234744,0.26910975812400006,0.26240987872421695
XGBoost,pca_128,128,0.4460093896713615,0.40631720367166163,0.4051940094219506
