stage,algorithm,pca_dim,k,explained_variance,silhouette,ARI,NMI,purity
fast_screening,KMeans,8,6,0.3827232,0.12387425,0.029202280008856583,0.05566276506170642,0.2651195499296765
fast_screening,GMM_diag,8,6,0.3827232,0.08797457,0.02431934023022237,0.05922267983183264,0.2707454289732771
fast_screening,KMeans,8,7,0.3827232,0.13341087,0.024127932090702606,0.05962494085226126,0.2742616033755274
fast_screening,GMM_diag,8,7,0.3827232,0.095140286,0.030929524376414937,0.07349654476223609,0.30239099859353025
fast_screening,KMeans,8,8,0.3827232,0.13963419,0.028378739777764218,0.06998488426170116,0.27637130801687765
fast_screening,GMM_diag,8,8,0.3827232,0.09461392,0.03677581438958808,0.07892404015106846,0.3059071729957806
fast_screening,KMeans,8,9,0.3827232,0.14470442,0.02993802891766427,0.07835039405214013,0.2869198312236287
fast_screening,GMM_diag,8,9,0.3827232,0.08704287,0.03479181764656424,0.08307401467378113,0.30520393811533053
fast_screening,KMeans,8,10,0.3827232,0.14293168,0.029737231779541705,0.07849239321877564,0.29324894514767935
fast_screening,GMM_diag,8,10,0.3827232,0.09319503,0.03193466112407585,0.0860640129003402,0.3080168776371308
fast_screening,KMeans,8,12,0.3827232,0.149952,0.028273777521051587,0.08541626838961601,0.3059071729957806
fast_screening,GMM_diag,8,12,0.3827232,0.08874369,0.02736286434000803,0.0825079877980079,0.29887482419127986
fast_screening,KMeans,16,6,0.5238079,0.080940574,0.02342387558772112,0.06168980990200624,0.25738396624472576
fast_screening,GMM_diag,16,6,0.5238079,0.035281777,0.03563781653639527,0.06480245940637733,0.30168776371308015
fast_screening,KMeans,16,7,0.5238079,0.08973506,0.0345084931157202,0.07115606804932449,0.2883263009845288
fast_screening,GMM_diag,16,7,0.5238079,0.028540716,0.026784824639574233,0.08179851717969457,0.30942334739803096
fast_screening,KMeans,16,8,0.5238079,0.08285666,0.023885655385776014,0.06299569601293269,0.2651195499296765
fast_screening,GMM_diag,16,8,0.5238079,0.021148987,0.023237061720035427,0.07073779907174244,0.3080168776371308
fast_screening,KMeans,16,9,0.5238079,0.09669836,0.030276983589648684,0.07595271105397276,0.2883263009845288
fast_screening,GMM_diag,16,9,0.5238079,0.024129491,0.021420333282477867,0.07901288102388605,0.3108298171589311
fast_screening,KMeans,16,10,0.5238079,0.09037025,0.03227226239311244,0.08609825398911315,0.30520393811533053
fast_screening,GMM_diag,16,10,0.5238079,0.03309102,0.022727319660761247,0.0784400973817831,0.3066104078762307
fast_screening,KMeans,16,12,0.5238079,0.09367838,0.027167310300264383,0.0816419909197046,0.3066104078762307
fast_screening,GMM_diag,16,12,0.5238079,0.032579362,0.028399608918888795,0.08908473137815427,0.3129395218002813
fast_screening,KMeans,24,6,0.62157166,0.06651148,0.023334054357395554,0.05921452312894692,0.26863572433192684
fast_screening,GMM_diag,24,6,0.62157166,0.0035087266,0.02779680501170408,0.06153209234424726,0.2918424753867792
fast_screening,KMeans,24,7,0.62157166,0.0687071,0.02865017257559331,0.059811247031985884,0.28340365682137836
fast_screening,GMM_diag,24,7,0.62157166,0.012797208,0.017744587578849235,0.06823371541597674,0.30520393811533053
fast_screening,KMeans,24,8,0.62157166,0.07355321,0.02911647237757852,0.06431360195180864,0.2749648382559775
fast_screening,GMM_diag,24,8,0.62157166,0.019305479,0.020988956157092873,0.06069957046695159,0.2819971870604782
fast_screening,KMeans,24,9,0.62157166,0.07952251,0.029632587846988207,0.08024358305108821,0.2974683544303797
fast_screening,GMM_diag,24,9,0.62157166,0.017257938,0.021363967535969544,0.0656301148971756,0.28270042194092826
fast_screening,KMeans,24,10,0.62157166,0.076593906,0.030184080161822006,0.08112802145022463,0.2981715893108298
