method,pca_dim,k,silhouette,ARI,NMI,purity
Original KMeans,none,8,0.03793234005570412,0.024894197037431214,0.06718562470633732,0.28270042194092826
Original GaussianMixture_diag,none,8,0.005710082594305277,0.0410056018253263,0.08305682442672101,0.3178621659634318
PCA-denoised GMM_diag,8,8,0.07334031909704208,0.03640213088186818,0.08364128044281445,0.310126582278481
