epoch,lr_encoder,lr_classifier,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,3.75e-06,6.25e-05,1.1644810874258453,0.6020100502512563,0.6067518621327446,0.6626015033372525,1.5982769442276217,0.4225352112676056,0.4203031032771829,0.458612450662083
2,3.75e-06,6.25e-05,1.187973553331653,0.6030150753768844,0.6089556025036904,0.6601671515910907,1.5896774508024045,0.4460093896713615,0.44041193627461234,0.4639244997241321
3,3.75e-06,6.25e-05,1.1629881179512445,0.6241206030150753,0.6219541635746278,0.678333100302911,1.5953381917846035,0.4225352112676056,0.4242663445788446,0.4581322017443341
4,3.75e-06,6.25e-05,1.1635634310281457,0.6120603015075377,0.6136469495158292,0.6644063242693061,1.6230843542887012,0.4272300469483568,0.4333000080364249,0.45500720174433407
5,1.875e-06,3.125e-05,1.141879369984919,0.6110552763819096,0.6150092482497835,0.6748993493018024,1.629286958018379,0.431924882629108,0.43672481359726334,0.46270133053221285
6,1.875e-06,3.125e-05,1.1091103103292648,0.6241206030150753,0.6283807382362094,0.6883572604558426,1.6241383407037582,0.4460093896713615,0.4438919396888441,0.4723525300271624
7,1.875e-06,3.125e-05,1.118934248560038,0.6351758793969849,0.63802746541055,0.6913891452018309,1.6066308972981054,0.43661971830985913,0.4320627052663766,0.4637531433027756
8,1.875e-06,3.125e-05,1.1808692294748584,0.6010050251256281,0.6053080968481825,0.657344928919243,1.6260062624031388,0.43661971830985913,0.43624827149020695,0.4588029719463543
9,1.875e-06,3.125e-05,1.1427706166128417,0.6120603015075377,0.6183227198930059,0.6718688944182684,1.6118752894826898,0.4460093896713615,0.4448488688511194,0.47130522663610896
10,1.875e-06,3.125e-05,1.1398923938597867,0.6311557788944724,0.6352251390218205,0.6890727671118906,1.6121477974412586,0.43661971830985913,0.4380764426874739,0.46144659568372803
11,1.875e-06,3.125e-05,1.122427920360661,0.6221105527638191,0.6270693726246184,0.6797875322881901,1.6128624218730299,0.43661971830985913,0.4382817696144984,0.4617070123503947
12,1.875e-06,3.125e-05,1.1290356488683115,0.6221105527638191,0.6255278242049918,0.6744848777146906,1.6068313177762457,0.4460093896713615,0.44704275998774246,0.4711530350776674
13,1.875e-06,3.125e-05,1.1202914996362812,0.628140703517588,0.6334615082659039,0.6917576563017542,1.633425384060318,0.41784037558685444,0.41792112482082405,0.4507221638655462
14,1.875e-06,3.125e-05,1.1058143007096333,0.6321608040201006,0.6366605414768253,0.6937316202343307,1.616806663817643,0.4413145539906103,0.4350178452859926,0.4637193229564553
15,1.875e-06,3.125e-05,1.1285181964462128,0.628140703517588,0.6305015417071193,0.6892819497434475,1.6337591549600234,0.4413145539906103,0.44260419028484366,0.4613203330574654
16,1.875e-06,3.125e-05,1.084553183383079,0.629145728643216,0.6342796770008801,0.6863825483963732,1.6056912835215178,0.431924882629108,0.430648506775556,0.45409365450725747
17,9.375e-07,1.5625e-05,1.0911184784155994,0.6381909547738693,0.6450024233295903,0.7027144109048502,1.6327482098145105,0.431924882629108,0.42784302476010483,0.4629617471988795
18,9.375e-07,1.5625e-05,1.1060345508345408,0.6422110552763819,0.6424025690541662,0.695773031922935,1.6234963639801097,0.431924882629108,0.42824870818902083,0.46080739113827346
19,9.375e-07,1.5625e-05,1.1083547570597587,0.6422110552763819,0.6482416951455272,0.7026390037924469,1.630285897725065,0.4225352112676056,0.4217482747317509,0.46150183558271796
20,9.375e-07,1.5625e-05,1.0986139051878272,0.6422110552763819,0.6452352447181718,0.6962379383791575,1.6180406109268117,0.4460093896713615,0.4443224891425981,0.46686010578473813
