epoch,lr_backbone,lr_head,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.0001,0.0007,1.8968743734024278,0.3457286432160804,0.3334837291925511,0.3703079913960279,1.5518761151273486,0.5164319248826291,0.5045650756793008,0.5531985426746456
2,0.0001,0.0007,1.1483883028653399,0.6673366834170854,0.6522197994927901,0.6846988870565884,1.3813673543258451,0.5915492957746479,0.5802601165362045,0.6444229585773703
3,0.0001,0.0007,0.9737538589305015,0.7175879396984924,0.7089399718823548,0.7450773403964656,1.247876977416831,0.6291079812206573,0.596234014479263,0.630835004456328
4,0.0001,0.0007,0.7715553218994907,0.8080402010050252,0.808971522186062,0.8523937968504461,1.2051629944586417,0.6901408450704225,0.6529046412682673,0.6812322940539852
5,0.0001,0.0007,0.6861599910199343,0.8613065326633166,0.8694509421942506,0.8939806934322536,1.1962627088519888,0.6807511737089202,0.6505237490387394,0.6812318298531533
6,0.0001,0.0007,0.6644390933477698,0.8552763819095477,0.8624250549678683,0.8868544368703157,1.2041665746572432,0.6713615023474179,0.6419946353210625,0.678535287220949
7,0.0001,0.0007,0.5601391092616709,0.9326633165829146,0.9322816313291162,0.949875564262579,1.2442469440155746,0.6995305164319249,0.6582458347837571,0.6905678369832782
8,0.0001,0.0007,0.5542831712032682,0.9256281407035176,0.9284160640655015,0.9382292715360525,1.2687077175283656,0.6713615023474179,0.639856490254163,0.6828477792632205
9,0.0001,0.0007,0.5468311326587619,0.9246231155778895,0.9322762353952989,0.9413562997035883,1.2876924774456473,0.6619718309859155,0.6315517410152789,0.672326667409388
10,0.0001,0.0007,0.5333651741545404,0.9407035175879397,0.9344709949179559,0.9500849818222137,1.297830282242645,0.6901408450704225,0.6498821237136455,0.6688728805916306
11,5e-05,0.00035,0.49173837672525916,0.9618090452261306,0.9633699762893659,0.9691296965197727,1.2361548937542337,0.676056338028169,0.6505833552481446,0.6837278377259995
12,5e-05,0.00035,0.4606800650831443,0.9778894472361809,0.9778245813804045,0.9850695947965812,1.2148270481069323,0.6948356807511737,0.6717325990874086,0.7143593232747645
13,5e-05,0.00035,0.45042521869716934,0.9869346733668342,0.9895674990123374,0.9907688779737247,1.1931295087080047,0.7183098591549296,0.6848858707798187,0.7095252684407096
14,5e-05,0.00035,0.45705929862793965,0.978894472361809,0.9795491502577944,0.9839002421306358,1.2556935643925913,0.676056338028169,0.6493356924252364,0.6811277825524149
15,5e-05,0.00035,0.44455865855193016,0.9768844221105528,0.9738274704585964,0.9845887005036758,1.2259236316725681,0.7136150234741784,0.6784969250839601,0.7044195234912147
16,5e-05,0.00035,0.4518307379142723,0.9768844221105528,0.9783833836381779,0.9834004752861892,1.2193802698677134,0.6995305164319249,0.6614058586659541,0.6830668157414481
17,2.5e-05,0.000175,0.44353260652503773,0.9809045226130654,0.982090183912636,0.9867900783501806,1.2188364734672046,0.6901408450704225,0.6537724734192041,0.682987901600034
18,2.5e-05,0.000175,0.4398635524002152,0.9879396984924623,0.9852958917866085,0.9871188343746369,1.2415758105510837,0.704225352112676,0.6652155007386213,0.6812100787284611
19,2.5e-05,0.000175,0.4223771697911785,0.9949748743718593,0.9954382388377119,0.9971589339961336,1.2009473361879448,0.7089201877934272,0.674754067771324,0.6923392273576097
