,ArtDeco,Cubism,Impressionism,Japonism,Naturalism,Rococo,cartoon,photo
ArtDeco,2,1,0,3,1,2,0,0
Cubism,2,22,12,7,8,2,0,2
Impressionism,0,5,17,3,3,3,2,3
Japonism,2,1,6,16,2,0,3,1
Naturalism,0,7,6,5,6,1,6,2
Rococo,3,0,4,1,0,5,0,5
cartoon,0,1,1,1,1,0,6,1
photo,0,3,3,2,1,1,2,9
