algorithm,k,silhouette,ARI,NMI,purity
KMeans,2,0.071908295,0.014895082314157555,0.02491203456008502,0.25668073136427566
KMeans,3,0.053680282,0.03345311184626224,0.05205602071883918,0.26441631504922647
KMeans,4,0.045282405,0.02983570273829652,0.047606199588989845,0.26652601969057665
KMeans,5,0.032358103,0.029009226537136994,0.0550845541234514,0.2679324894514768
KMeans,6,0.034337178,0.027197279453753023,0.05533151540500042,0.27355836849507736
KMeans,7,0.03301462,0.024279230503784797,0.05548004139826431,0.26933895921237694
KMeans,8,0.03793234,0.024894197037431214,0.06718562470633732,0.28270042194092826
KMeans,9,0.03971142,0.033890166966778254,0.08646485519301889,0.2967651195499297
KMeans,10,0.039235856,0.03085511858822889,0.08504973878839665,0.29465541490857944
KMeans,11,0.03962945,0.031512992242810116,0.08769735943750608,0.3108298171589311
KMeans,12,0.04059486,0.030613642067182326,0.08733708414287726,0.30872011251758086
