epoch,lr,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.001,2.015345605653734,0.27738693467336684,0.2506076059273748,0.2684781638989775,1.8976737770116385,0.2676056338028169,0.22907548741361128,0.31314431075460486
2,0.001,1.8511250348546398,0.32964824120603015,0.3091364419443267,0.34748074850841865,1.8536940169446345,0.3192488262910798,0.3104340911759611,0.3702334532297768
3,0.001,1.8125451506082737,0.36180904522613067,0.3395966777316123,0.37503645505772953,1.8303822900207949,0.37089201877934275,0.3619471361355379,0.42237421483745013
4,0.001,1.7992133219637463,0.34773869346733666,0.3304594468815617,0.37423769912078886,1.8127327905574315,0.38967136150234744,0.34992898071549755,0.39824724397334693
5,0.001,1.7494159475642832,0.38190954773869346,0.3510659396991531,0.3866439765808647,1.7507461040792331,0.4131455399061033,0.39249614105249775,0.43533576309311606
6,0.001,1.7297942232246974,0.4,0.37679692517883684,0.41469922972924456,1.7180198005667315,0.4272300469483568,0.42275255389508826,0.43350681181563533
7,0.001,1.7268862344511788,0.3869346733668342,0.36914010151085,0.40909936019012505,1.7675072284931308,0.38497652582159625,0.3424452406962205,0.37391536159918515
8,0.001,1.7161319176755359,0.39095477386934674,0.3718352777259043,0.4113964204588285,1.7519607448801748,0.4084507042253521,0.37988497281522426,0.4260577147525677
9,0.001,1.7189198619756267,0.4040201005025126,0.38368491706533525,0.42480843160518966,1.7973990255678203,0.38967136150234744,0.36472953216374265,0.39919646836007133
10,0.001,1.7147484688303578,0.40100502512562813,0.37444772979545704,0.4010964849055555,1.7965288766672913,0.3380281690140845,0.3384368678322737,0.3807962105296664
11,0.0005,1.7186113189812282,0.39396984924623113,0.37567805047205705,0.41945926099276043,1.7651709055117037,0.3755868544600939,0.37441284341965375,0.4138409435743995
12,0.0005,1.6772494112426912,0.39899497487437185,0.3859885652636983,0.4302170937533963,1.7463485159224748,0.39436619718309857,0.37074104128510843,0.3909348872124608
13,0.0005,1.6615568231697657,0.421105527638191,0.40117120090158953,0.437881082415757,1.7532590554913445,0.4131455399061033,0.4115283495314455,0.46100089657074955
14,0.0005,1.6515374782696441,0.4130653266331658,0.3955893716663056,0.43834622107191484,1.7190771584219775,0.41784037558685444,0.3939936245650896,0.4194999496010525
