epoch,lr_backbone,lr_head,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,7e-05,0.0007,1.9694489646796605,0.30251256281407035,0.2786636720691399,0.3029963834092787,1.8022288990692354,0.48826291079812206,0.47491991629473534,0.5375472821704439
2,7e-05,0.0007,1.530764845987061,0.5447236180904522,0.5297642234338571,0.5794470122904385,1.5307214758205863,0.5633802816901409,0.5541725761450825,0.6048200624946949
3,7e-05,0.0007,1.2620933551884177,0.6482412060301508,0.6371486678483417,0.6812763688284156,1.3483827777311836,0.6103286384976526,0.5929683267291632,0.6391672767591885
4,7e-05,0.0007,1.0962881275157832,0.6844221105527638,0.6752276745649841,0.7203458653816962,1.2572379859400467,0.6431924882629108,0.6312009126003935,0.6748251952296069
5,7e-05,0.0007,1.0019701903788887,0.7115577889447237,0.6999724658319635,0.7425692762648356,1.193007296799494,0.6572769953051644,0.6387408431936374,0.669551873779815
6,7e-05,0.0007,0.8773376325866086,0.770854271356784,0.76531173208776,0.8030836934863685,1.1542373764123155,0.704225352112676,0.6861302853658955,0.7196935213479331
7,7e-05,0.0007,0.8029733029442216,0.792964824120603,0.7911036353032896,0.8254952339102952,1.1206113891982137,0.7136150234741784,0.6841146162266852,0.7086932879212291
8,7e-05,0.0007,0.7328361452524387,0.8231155778894472,0.8266362177017132,0.8609568597760477,1.1276908547665592,0.7230046948356808,0.6999056095711693,0.7280227431881843
9,7e-05,0.0007,0.6915217983063741,0.8512562814070351,0.8571095576826246,0.8789309953679075,1.0925175074680311,0.7511737089201878,0.7319244019055462,0.7610013607715813
10,7e-05,0.0007,0.6617170503990135,0.878391959798995,0.8804148657295416,0.9078415395055701,1.0845604357025433,0.7183098591549296,0.6971056148601502,0.719624753310415
11,7e-05,0.0007,0.6235640985881863,0.8914572864321608,0.8981819927384161,0.9103429050414743,1.111291999828088,0.7417840375586855,0.7192864969446165,0.7286976248832866
12,7e-05,0.0007,0.6094984873455374,0.8854271356783919,0.8888457911364488,0.9121213742644404,1.1049731093952913,0.7323943661971831,0.7135580391532743,0.7368712731304643
13,3.5e-05,0.00035,0.5809045875491808,0.9095477386934674,0.9106710854700276,0.9289029057053819,1.0907688373131372,0.7370892018779343,0.717502944294607,0.7373391212545624
14,3.5e-05,0.00035,0.5490614931787079,0.9336683417085427,0.9375451605259818,0.9500286656845112,1.0753956739331636,0.755868544600939,0.7346528314615564,0.7629922518249724
15,3.5e-05,0.00035,0.5326246472459343,0.9336683417085427,0.9391706492275634,0.9524977610076473,1.0912247669528907,0.7323943661971831,0.7104840939864903,0.7245647785629403
16,3.5e-05,0.00035,0.5522232330025141,0.9306532663316583,0.9340188349154139,0.9448817755986261,1.0635583022950401,0.7370892018779343,0.708248574704909,0.7264174040828453
17,3.5e-05,0.00035,0.5244173186508255,0.9346733668341709,0.9382336441460398,0.9521677928888784,1.0822645062012293,0.7417840375586855,0.7153378363573994,0.7443090967447585
18,1.75e-05,0.000175,0.5166692022103161,0.9477386934673366,0.9532871568512515,0.96068485297713,1.0830321127260234,0.755868544600939,0.7332608471666139,0.7436620007851625
19,1.75e-05,0.000175,0.5128349240700804,0.9517587939698492,0.9597637492692814,0.966210868150077,1.0843814149708815,0.7417840375586855,0.716392660232021,0.7376250689669808
20,1.75e-05,0.000175,0.5089107364865404,0.9477386934673366,0.9481204661250873,0.9597223174969096,1.0726777197609485,0.7370892018779343,0.7147658594530891,0.7315644629063747
